work_year,experience_level,salary_in_usd,country,experience_level
2021,EN,50000,"United States","Entry-level / Junior"
2021,SE,200000,"United States","Senior-level / Expert"
2021,MI,200000,"United States","Mid-level / Intermediate"
2021,EN,90000,"United States","Entry-level / Junior"
2021,EN,225000,"United States","Entry-level / Junior"
2021,EN,12000,"United States","Entry-level / Junior"
2021,SE,150000,"United States","Senior-level / Expert"
2021,SE,115000,"United States","Senior-level / Expert"
2021,MI,73000,"United States","Mid-level / Intermediate"
2021,MI,62000,"United States","Mid-level / Intermediate"
2021,MI,36259,"United States","Mid-level / Intermediate"
2021,SE,150000,"United States","Senior-level / Expert"
2021,MI,75000,"United States","Mid-level / Intermediate"
2021,MI,95746,"United States","Mid-level / Intermediate"
2021,EN,70000,"United States","Entry-level / Junior"
2021,MI,450000,"United States","Mid-level / Intermediate"
2021,EN,12000,"United States","Entry-level / Junior"
2021,SE,276000,"United States","Senior-level / Expert"
2021,SE,80000,"United States","Senior-level / Expert"
2021,SE,170000,"United States","Senior-level / Expert"
2021,MI,110000,"United States","Mid-level / Intermediate"
2021,MI,140000,"United States","Mid-level / Intermediate"
2021,EN,80000,"United States","Entry-level / Junior"
2021,MI,270000,"United States","Mid-level / Intermediate"
2021,MI,100000,"United States","Mid-level / Intermediate"
2021,EX,235000,"United States","Executive-level / Director"
2021,EX,150000,"United States","Executive-level / Director"
2020,EN,105000,"United States","Entry-level / Junior"
2020,SE,190200,"United States","Senior-level / Expert"
2020,SE,412000,"United States","Senior-level / Expert"
2020,MI,130800,"United States","Mid-level / Intermediate"
2020,MI,110000,"United States","Mid-level / Intermediate"
2020,MI,138350,"United States","Mid-level / Intermediate"
2020,SE,120000,"United States","Senior-level / Expert"
2020,MI,118000,"United States","Mid-level / Intermediate"
2020,SE,60000,"United States","Senior-level / Expert"
2020,EN,91000,"United States","Entry-level / Junior"
2020,MI,105000,"United States","Mid-level / Intermediate"
2020,SE,188000,"United States","Senior-level / Expert"
2020,MI,106000,"United States","Mid-level / Intermediate"
2020,MI,45760,"United States","Mid-level / Intermediate"
2020,EN,138000,"United States","Entry-level / Junior"
2020,EN,250000,"United States","Entry-level / Junior"
2020,MI,103000,"United States","Mid-level / Intermediate"
2020,MI,450000,"United States","Mid-level / Intermediate"
2020,SE,68428,"United States","Senior-level / Expert"
2020,EN,70000,"United States","Entry-level / Junior"
2020,EN,100000,"United States","Entry-level / Junior"
2020,EX,325000,"United States","Executive-level / Director"
2020,MI,98000,"United States","Mid-level / Intermediate"
2020,MI,56000,"United States","Mid-level / Intermediate"
2020,MI,85000,"United States","Mid-level / Intermediate"
2020,MI,87000,"United States","Mid-level / Intermediate"
2020,MI,135000,"United States","Mid-level / Intermediate"
2020,SE,190000,"United States","Senior-level / Expert"
2020,EN,72000,"United States","Entry-level / Junior"
2020,SE,150000,"United States","Senior-level / Expert"
2021,EN,4000,"Viet Nam","Entry-level / Junior"
